route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
TCAR:407,REGEN_32,TCAR:23265:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23266:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23267:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23268:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23269:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23270:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23271:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23272:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23273:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23274:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23275:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23276:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23277:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23278:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23279:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23280:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23281:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23282:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23283:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23284:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23285:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23286:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23287:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23288:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23289:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23290:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23291:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23292:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23293:1602823,"","",1,,0,0,TCAR:CALC_2587331
